
2.91306, -0.0959566, 1.01447
2.85734, -0.0989367, 1.01447
2.79487, -0.102278, 1.48299
2.72899, -0.105801, 1.81157
2.6713, -0.108886, 2.03889
2.60689, -0.112331, 2.26178
2.536, -0.116122, 2.46927
2.48527, -0.118835, 2.60957
2.43155, -0.121708, 2.76775
2.37471, -0.124748, 2.92283
2.31491, -0.127947, 3.06548
2.25236, -0.131292, 3.19678
2.18731, -0.134771, 3.31589
2.11999, -0.138371, 3.42394
2.05062, -0.142081, 3.52196
1.97938, -0.145891, 3.61088
1.90645, -0.149791, 3.69154
1.83199, -0.153773, 3.76472
1.75613, -0.15783, 3.8311
1.67901, -0.161955, 3.89132
1.60074, -0.166141, 3.94595
1.52143, -0.170382, 3.9955
1.44118, -0.174674, 4.04046
1.36008, -0.179011, 4.08124
1.2782, -0.183391, 4.11824
1.19561, -0.187807, 4.1518
1.11238, -0.192258, 4.18225
1.02858, -0.19674, 4.20986
0.944249, -0.20125, 4.23492
0.859441, -0.205786, 4.25765
0.776309, -0.210232, 4.06745
0.696976, -0.214475, 3.87725
0.621441, -0.218514, 3.68705
0.549704, -0.222351, 3.49685
0.481428, -0.226002, 3.34829
0.415582, -0.229524, 3.25088
0.351329, -0.23296, 3.18699
0.28812, -0.236341, 3.1451
0.225597, -0.239684, 3.11763
0.163522, -0.243004, 3.09961
0.101743, -0.246308, 3.08779
0.0401565, -0.249602, 3.08005
-0.0213031, -0.252889, 3.07497
-0.0826797, -0.256171, 3.07163
-0.144002, -0.259451, 3.06945
-0.205288, -0.262728, 3.06802
-0.266551, -0.266005, 3.06708
-0.327804, -0.269179, 3.06646
-0.389066, -0.271953, 3.06606
-0.450343, -0.27418, 3.06579
-0.511637, -0.275732, 3.06562
-0.572942, -0.276598, 3.0655
-0.634251, -0.276749, 3.06543
-0.695556, -0.276155, 3.06538
-0.756847, -0.274789, 3.06535
-0.817965, -0.272635, 3.05101
-0.878742, -0.269839, 3.02578
-0.93882, -0.266564, 2.9885
-0.998047, -0.263129, 2.93392
-1.05596, -0.259619, 2.86307
-1.11248, -0.256034, 2.8038
-1.16788, -0.252377, 2.7506
-1.22225, -0.248676, 2.7014
-1.27581, -0.244945, 2.66914
-1.32883, -0.241189, 2.64798
-1.38151, -0.237416, 2.6341
-1.43396, -0.233554, 2.625
-1.48594, -0.229576, 2.5904
-1.53735, -0.225508, 2.5677
-1.58838, -0.221344, 2.55282
-1.63915, -0.217077, 2.54306
-1.68976, -0.212776, 2.53666
-1.74027, -0.208489, 2.53246
-1.79071, -0.204204, 2.52971
-1.8411, -0.199915, 2.52791
-1.89147, -0.195622, 2.52672
-1.94181, -0.191326, 2.52595
-1.99214, -0.187029, 2.52544
-2.04246, -0.182729, 2.5251
-2.09279, -0.178529, 2.52488
-2.14315, -0.174882, 2.52474
-2.19357, -0.17227, 2.52465
-2.24405, -0.170976, 2.52458
-2.29454, -0.170939, 2.52454
-2.34501, -0.172118, 2.52452
-2.39547, -0.174114, 2.5245
-2.4459, -0.176444, 2.52449
-2.49634, -0.17876, 2.52448
-2.54677, -0.181078, 2.52448
-2.59721, -0.183433, 2.52447
-2.64764, -0.185827, 2.52447
-2.69807, -0.188251, 2.52447
-2.7485, -0.190698, 2.52447
-2.79893, -0.19316, 2.52447
-2.84936, -0.195633, 2.52447
-2.89979, -0.198112, 2.52447
-2.95022, -0.200596, 2.52447
-3.00065, -0.203082, 2.52447
-3.05113, -0.205573, 2.53634
-3.10202, -0.208085, 2.55841
-3.15348, -0.210626, 2.59595
-3.20579, -0.21321, 2.64753
-3.25928, -0.215852, 2.7076
-3.31393, -0.218552, 2.76398
-3.36966, -0.221305, 2.81513
-3.42636, -0.224106, 2.86153
-3.48395, -0.226951, 2.90362
-3.54234, -0.229835, 2.9418
-3.60145, -0.232755, 2.97644
-3.66123, -0.235708, 3.00786
-3.7216, -0.238679, 3.03637
-3.78252, -0.241549, 3.06222
-3.84394, -0.244314, 3.08568
-3.90581, -0.246967, 3.10696
-3.9681, -0.249501, 3.12627
-4.03075, -0.251906, 3.14378
-4.09375, -0.254173, 3.15966
-4.15705, -0.256294, 3.17408
-4.22063, -0.258264, 3.18715
-4.28447, -0.260076, 3.19901
-4.34854, -0.261727, 3.20977
-4.41282, -0.263211, 3.21953
-4.47728, -0.264526, 3.22838
-4.54192, -0.265669, 3.23641
-4.60672, -0.266638, 3.2437
-4.67154, -0.267442, 3.22833
-4.73582, -0.268198, 3.20085
-4.79964, -0.268902, 3.18283
-4.86317, -0.269557, 3.17101
-4.9265, -0.270171, 3.16326
-4.98971, -0.270754, 3.15817
